dataset,seed,beta,policy,c,R,A,id_accepted,fallback,selected_m,full_grid_min,excess_width,excess_grid_steps,exact,quality_met,T_D,requested_count,requested_widths,canonical_keys,candidate_seconds,reference_seconds,cold_seconds,amortized25_seconds,soft_budget_exceeded,val_mse,test_mse,nonmonotone_Q
MNIST,123,0.25,Midpoint local,2,0.15,0.25,,False,10,10,0,0,True,True,0.01701863185337612,4,64;12;10;8,vae|MNIST|m64|s123|e300|es1|b0.25;vae|MNIST|m12|s123|e300|es1|b0.25;vae|MNIST|m10|s123|e300|es1|b0.25;vae|MNIST|m8|s123|e300|es1|b0.25,127.641268491745,0.0,127.641268491745,127.641268491745,False,0.016006973578005422,0.015595664718524131,False
MNIST,123,0.25,ID certified,2,0.15,0.25,True,False,10,10,0,0,True,True,0.01701863185337612,10,64;24;20;16;12;10;8;2;4;6,vae|MNIST|m64|s123|e300|es1|b0.25;vae|MNIST|m24|s123|e300|es1|b0.25;vae|MNIST|m20|s123|e300|es1|b0.25;vae|MNIST|m16|s123|e300|es1|b0.25;vae|MNIST|m12|s123|e300|es1|b0.25;vae|MNIST|m10|s123|e300|es1|b0.25;vae|MNIST|m8|s123|e300|es1|b0.25;vae|MNIST|m2|s123|e300|es1|b0.25;vae|MNIST|m4|s123|e300|es1|b0.25;vae|MNIST|m6|s123|e300|es1|b0.25,307.12602639198303,207.46426463127136,514.5902910232544,315.4245969772339,False,0.016006973578005422,0.015595664718524131,False
MNIST,777,0.25,Full grid Q,2,0.15,0.25,,False,10,10,0,0,True,True,0.016649556529765228,12,64;2;4;6;8;10;12;16;20;24;32;48,vae|MNIST|m64|s777|e300|es1|b0.25;vae|MNIST|m2|s777|e300|es1|b0.25;vae|MNIST|m4|s777|e300|es1|b0.25;vae|MNIST|m6|s777|e300|es1|b0.25;vae|MNIST|m8|s777|e300|es1|b0.25;vae|MNIST|m10|s777|e300|es1|b0.25;vae|MNIST|m12|s777|e300|es1|b0.25;vae|MNIST|m16|s777|e300|es1|b0.25;vae|MNIST|m20|s777|e300|es1|b0.25;vae|MNIST|m24|s777|e300|es1|b0.25;vae|MNIST|m32|s777|e300|es1|b0.25;vae|MNIST|m48|s777|e300|es1|b0.25,378.02493023872375,0.0,378.02493023872375,378.02493023872375,False,0.015620292819276148,0.015080790617028059,False
MNIST,777,0.25,Ascending Q,2,0.15,0.25,,False,10,10,0,0,True,True,0.016649556529765228,6,64;2;4;6;8;10,vae|MNIST|m64|s777|e300|es1|b0.25;vae|MNIST|m2|s777|e300|es1|b0.25;vae|MNIST|m4|s777|e300|es1|b0.25;vae|MNIST|m6|s777|e300|es1|b0.25;vae|MNIST|m8|s777|e300|es1|b0.25;vae|MNIST|m10|s777|e300|es1|b0.25,190.66316390037537,0.0,190.66316390037537,190.66316390037537,False,0.015620292819276148,0.015080790617028059,False
MNIST,777,0.25,Legacy window,2,0.15,0.25,True,False,10,10,0,0,True,True,0.016649556529765228,10,64;2;4;6;8;10;12;16;20;24,vae|MNIST|m64|s777|e300|es1|b0.25;vae|MNIST|m2|s777|e300|es1|b0.25;vae|MNIST|m4|s777|e300|es1|b0.25;vae|MNIST|m6|s777|e300|es1|b0.25;vae|MNIST|m8|s777|e300|es1|b0.25;vae|MNIST|m10|s777|e300|es1|b0.25;vae|MNIST|m12|s777|e300|es1|b0.25;vae|MNIST|m16|s777|e300|es1|b0.25;vae|MNIST|m20|s777|e300|es1|b0.25;vae|MNIST|m24|s777|e300|es1|b0.25,317.9339883327484,207.46426463127136,525.3982529640198,326.23255891799926,False,0.015620292819276148,0.015080790617028059,False
MNIST,777,0.25,ID local,2,0.15,0.25,True,False,10,10,0,0,True,True,0.016649556529765228,7,64;24;20;16;12;10;8,vae|MNIST|m64|s777|e300|es1|b0.25;vae|MNIST|m24|s777|e300|es1|b0.25;vae|MNIST|m20|s777|e300|es1|b0.25;vae|MNIST|m16|s777|e300|es1|b0.25;vae|MNIST|m12|s777|e300|es1|b0.25;vae|MNIST|m10|s777|e300|es1|b0.25;vae|MNIST|m8|s777|e300|es1|b0.25,248.41803526878357,207.46426463127136,455.88229990005493,256.7166058540344,False,0.015620292819276148,0.015080790617028059,False
MNIST,777,0.25,Midpoint local,2,0.15,0.25,,False,10,10,0,0,True,True,0.016649556529765228,4,64;12;10;8,vae|MNIST|m64|s777|e300|es1|b0.25;vae|MNIST|m12|s777|e300|es1|b0.25;vae|MNIST|m10|s777|e300|es1|b0.25;vae|MNIST|m8|s777|e300|es1|b0.25,154.866459608078,0.0,154.866459608078,154.866459608078,False,0.015620292819276148,0.015080790617028059,False
MNIST,777,0.25,ID certified,2,0.15,0.25,True,False,10,10,0,0,True,True,0.016649556529765228,10,64;24;20;16;12;10;8;2;4;6,vae|MNIST|m64|s777|e300|es1|b0.25;vae|MNIST|m24|s777|e300|es1|b0.25;vae|MNIST|m20|s777|e300|es1|b0.25;vae|MNIST|m16|s777|e300|es1|b0.25;vae|MNIST|m12|s777|e300|es1|b0.25;vae|MNIST|m10|s777|e300|es1|b0.25;vae|MNIST|m8|s777|e300|es1|b0.25;vae|MNIST|m2|s777|e300|es1|b0.25;vae|MNIST|m4|s777|e300|es1|b0.25;vae|MNIST|m6|s777|e300|es1|b0.25,317.9339883327484,207.46426463127136,525.3982529640198,326.23255891799926,False,0.015620292819276148,0.015080790617028059,False
MNIST,2024,0.25,Full grid Q,2,0.15,0.25,,False,10,10,0,0,True,True,0.017417521885463173,12,64;2;4;6;8;10;12;16;20;24;32;48,vae|MNIST|m64|s2024|e300|es1|b0.25;vae|MNIST|m2|s2024|e300|es1|b0.25;vae|MNIST|m4|s2024|e300|es1|b0.25;vae|MNIST|m6|s2024|e300|es1|b0.25;vae|MNIST|m8|s2024|e300|es1|b0.25;vae|MNIST|m10|s2024|e300|es1|b0.25;vae|MNIST|m12|s2024|e300|es1|b0.25;vae|MNIST|m16|s2024|e300|es1|b0.25;vae|MNIST|m20|s2024|e300|es1|b0.25;vae|MNIST|m24|s2024|e300|es1|b0.25;vae|MNIST|m32|s2024|e300|es1|b0.25;vae|MNIST|m48|s2024|e300|es1|b0.25,433.86787390708923,0.0,433.86787390708923,433.86787390708923,False,0.0161770408786073,0.015644388627032844,False
MNIST,2024,0.25,Ascending Q,2,0.15,0.25,,False,10,10,0,0,True,True,0.017417521885463173,6,64;2;4;6;8;10,vae|MNIST|m64|s2024|e300|es1|b0.25;vae|MNIST|m2|s2024|e300|es1|b0.25;vae|MNIST|m4|s2024|e300|es1|b0.25;vae|MNIST|m6|s2024|e300|es1|b0.25;vae|MNIST|m8|s2024|e300|es1|b0.25;vae|MNIST|m10|s2024|e300|es1|b0.25,177.96200680732727,0.0,177.96200680732727,177.96200680732727,False,0.0161770408786073,0.015644388627032844,False
