
=== MNIST  beta 文脈=0.25  尤度=gaussian  初期容量=64 ===
  B7_geco_l0   s=42     m=    5 (格子上 4) val_MSE=0.02200   169.6s SUCCESS
  B8_ard_vae   s=42     m=    4 (格子上 4) val_MSE=0.02200   131.4s SUCCESS
  B7_geco_l0   s=123    m=    4 (格子上 4) val_MSE=0.02246   165.9s SUCCESS
  B8_ard_vae   s=123    m=    4 (格子上 4) val_MSE=0.02246   126.2s SUCCESS
  B7_geco_l0   s=777    m=    3 (格子上 2) val_MSE=0.02628   181.5s SUCCESS
  B8_ard_vae   s=777    m=    3 (格子上 2) val_MSE=0.02628   143.3s SUCCESS
  B7_geco_l0   s=2024   m=    4 (格子上 4) val_MSE=0.02165   180.1s SUCCESS
  B8_ard_vae   s=2024   m=    4 (格子上 4) val_MSE=0.02165   143.3s SUCCESS
  B7_geco_l0   s=31337  m=    4 (格子上 4) val_MSE=0.02236   165.4s SUCCESS
  B8_ard_vae   s=31337  m=    4 (格子上 4) val_MSE=0.02236   132.5s SUCCESS

=== FashionMNIST  beta 文脈=4.0  尤度=gaussian  初期容量=64 ===
  B7_geco_l0   s=42     m=    5 (格子上 4) val_MSE=0.02524   180.8s SUCCESS
  B8_ard_vae   s=42     m=    4 (格子上 4) val_MSE=0.02524   140.6s SUCCESS
  B7_geco_l0   s=123    m=    4 (格子上 4) val_MSE=0.02559   175.4s SUCCESS
  B8_ard_vae   s=123    m=    4 (格子上 4) val_MSE=0.02559   137.6s SUCCESS
  B7_geco_l0   s=777    m=    3 (格子上 2) val_MSE=0.02800   189.2s SUCCESS
  B8_ard_vae   s=777    m=    3 (格子上 2) val_MSE=0.02800   152.4s SUCCESS
  B7_geco_l0   s=2024   m=    4 (格子上 4) val_MSE=0.02500   174.6s SUCCESS
  B8_ard_vae   s=2024   m=    4 (格子上 4) val_MSE=0.02500   137.6s SUCCESS
  B7_geco_l0   s=31337  m=    3 (格子上 2) val_MSE=0.02809   175.5s SUCCESS
  B8_ard_vae   s=31337  m=    4 (格子上 4) val_MSE=0.02516   128.1s SUCCESS

=== dSprites  beta 文脈=0.25  尤度=bernoulli  初期容量=64 ===
  B7_geco_l0   s=42     m=   64 (格子上 64) val_MSE=0.00103   621.9s SUCCESS
  B8_ard_vae   s=42     m=    9 (格子上 8) val_MSE=0.00179   674.3s SUCCESS
  B7_geco_l0   s=123    m=   64 (格子上 64) val_MSE=0.00102   583.6s SUCCESS
  B8_ard_vae   s=123    m=   10 (格子上 10) val_MSE=0.00150   617.0s SUCCESS
  B7_geco_l0   s=777    m=   64 (格子上 64) val_MSE=0.00103   571.2s SUCCESS
  B8_ard_vae   s=777    m=    7 (格子上 6) val_MSE=0.00273   509.8s SUCCESS
  B7_geco_l0   s=2024   m=   64 (格子上 64) val_MSE=0.00104   523.4s SUCCESS
  B8_ard_vae   s=2024   m=   11 (格子上 10) val_MSE=0.00149   597.4s SUCCESS
